heading,desc
Variable-Speed Operation,"By changing the speed of its airflow during start-up, your package unit can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
High Efficiency Ratings*,"PRPGE16 units offer efficiency ratings of up to 16.00 SEER and 81% AFUE**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***"
Up to 15.2 SEER2 Efficiency*,"SEER2 stands for Seasonal Energy Efficiency Ratio and is a measurement of the efficiency of cooling products. The “2” refers to the 2023 updated testing standards. Compared to original SEER ratings, these new standards are updated to more accurately reflect performance in real-world installations. Think of it like the difference between highway vs. city miles per gallon: SEER represents performance in perfect conditions, while SEER2 presents a more realistic picture of performance – i.e., stop-and-go traffic

Learn more about SEER and SEER2 ratings here.
*May qualify for local utility rebates"
Tri-Diamond™ Technology,"Our unique Tri-Diamond design increases the heat exchanger's surface area, making heat transfer more efficient. This allows for a smaller heat exchanger that requires less energy to operate."
ENERGY STAR® Certified,The ENERGY STAR program is a joint program of the U.S. Environmental Protection Agency and the U.S. Department of Energy helping us all save money and protect the environment through energy-efficient products and practices.
Dedicated Air Purifier,"UVA lamp accessory can be easily integrated into the unit to attack microorganisms like mold and bacteria, preventing them from circulating through your air. It makes your home a healthier place to be."
Multi-Stage Operation,At the heart of the system is an advanced compressor that has two stages of cooling and two stages of heating to precisely maintain your set temperature. This also helps keep humidity levels balanced throughout your home.
Variable-Speed Operation,"By changing the speed of its airflow during start-up, your package unit can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
All-in-One Design,"Our single unit design was developed to keep all heating and cooling operation outside of the home, keeping sound inside your home to a minimum."
Vibration Reduction,"Each compressor was constructed with rubber pads to reduce vibration during operation. Less vibration lowers sound, so your outdoor entertaining is not interrupted."
Heavy-Duty Compressor Blanket,"Inside every AirEase package unit, you’ll find a compressor that’s wrapped in a heavy-duty, sound-insulating blanket to reduce operating noise to as low as 68 dB.**** So you’ll enjoy peace and quiet with your comfort."
Swept-Wing Fan Blade,Swept-wing fan blades on the condenser fan pull air over the coil surface for efficient heat transfer. This unique design also means our units operate with sound levels as low as 68 dB.****
Built-In Pest Control,"Even during the off-season, AirEase packaged units periodically cycle on the heating components. This creates an inhospitable environment for birds, rodents and insects, keeping them from nesting inside."
Integrated Compressor Protection,"The combination of both high and low pressure switches protect the compressor, the heart of the system. High and low pressure switches guard against a variety of conditions to help keep your system running for years."
Internal Monitoring,Your AirEase package unit's electronic control system prolongs system life by continuously monitoring internal components for optimum performance and fault prevention.
MHT™ Technology,"AirEase’s proprietary heat transfer system. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. They combine for maximum heat transfer and efficiency."
Tilted Heat Exchanger,"By tilting the heat exchanger, the Tri-Diamond design eliminates issues caused by condensation developed during the cooling season. As a result, these units start up when they're supposed to, year after year."
Warranty,AirEase's commitment to a better product is backed by a Limited Lifetime Warranty on the aluminized steel heat exchanger and a 10-Year Limited Warranty on parts.
High Efficiency Ratings*,"PRPHP16 units offer efficiency ratings of up to 16.00 SEER and 8.2 HSPF**, so you can enjoy consistent savings through every season. You may even be eligible for local utility rebates and other energy incentives.***"
Variable-Speed Operation,"By changing the speed of its airflow during start-up, your package unit can create more even temperatures throughout your home, while enhancing efficiency and reducing operating noise."
Quiet Shift™ Technology,"Allows heat pumps to enter defrost mode without excessive noise. Since refrigerant pressure is allowed to equalize before the switch, the heat pump can dissipate performance-robbing frost and ice quietly."
MHT™ Technology,"AirEase’s proprietary heat transfer system. A specially designed fan shroud pulls air evenly throughout the air conditioner’s coil surface. The coil features rifled tubing to enhance refrigerant flow, while lanced coil fins increase surface contact between metal and air. All combine for maximum heat transfer and efficiency."
